id,sport_fk,year,manufacturer_fk,mainset,subset,playername,cardno,parallel,rookie,auto,serialnumbered,memorabilia,photourl,pricing_fk,listedproduct_fk
73,1,2019,1,Chrome,Talent Pipeline,Leody Taveras - Jonathan Hernandez - Andy Ibanez,TP-TEX,Gold Refractor,P,N,39/50,N,NULL,NULL,NULL
74,1,2019,1,Chrome,Talent Pipeline,Elehuris Montero - Genesis Cabrera - Andrew Knizner,TP-STL,Gold Refractor,P,N,18/50,N,NULL,NULL,NULL
75,1,2019,1,Chrome,Talent Pipeline,MacKenzie Gore - Josh Naylor - Luis Urias,TP-SDP,Gold Refractor,P,N,40/50,N,NULL,NULL,NULL
76,1,2019,1,Chrome,Talent Pipeline,Seuly Matias - Khalil Lee - Nicky Lopez,TP-KCR,Gold Refractor,P,N,44/50,N,NULL,NULL,NULL
77,1,2019,1,Chrome,Talent Pipeline,Ronaldo Hernandez - Nick Solak - Brent Honeywell,TP-TBR,Gold Refractor,P,N,01/50,N,NULL,NULL,NULL
78,1,2019,1,Chrome,Talent Pipeline,Tristan Pompey - Nick Neidert - Austin Dean,TP-MIA,Gold Refractor,P,N,31/50,N,NULL,NULL,NULL
79,1,2019,1,Chrome,Talent Pipeline,Austin Beck - Skye Bolt - Jesus Luzardo,TP-OAK,Gold Refractor,P,N,05/50,N,NULL,NULL,NULL
80,1,2019,1,Chrome,Talent Pipeline,Colton Welker - Roberto Ramos - Brendan Rodgers,TP-COL,Gold Refractor,P,N,06/50,N,NULL,NULL,NULL
81,1,2019,1,Chrome,Talent Pipeline,Evan White - Braden Bishop - Ian Miller,TP-SEA,Gold Refractor,P,N,27/50,N,NULL,NULL,NULL
82,1,2021,2,Gypsy Queen,Captain,Aaron Judge,CM-AJ,Mini Insert,N,N,N,N,NULL,NULL,NULL
83,1,2021,3,Update,All Star Game,Aaron Judge,ASG-23,Refractor,N,N,N,N,NULL,NULL,NULL
84,1,2021,2,Series 2,Base,Dominic Smith,546,Green Foil,N,N,021/499,N,NULL,NULL,NULL
85,1,2021,2,Update Series,Base,Jimmy Lambert,US293,Green Foil,N,N,496/499,N,NULL,NULL,NULL
86,1,2021,2,Series 2,Base,Tom Hatch,556,Orange Foil,N,N,154/299,N,NULL,NULL,NULL
87,1,2021,2,Series 2,Base,James Karinchak,361,Orange Foil,N,N,214/299,N,NULL,NULL,NULL
88,1,2021,2,Update Series,Base,David Dahl,US193,Orange Foil,N,N,238/299,N,NULL,NULL,NULL
89,1,2021,2,Update Series,Base,Nolan Ryan,CPDC-7,Die Cut Insert,N,N,N,N,NULL,NULL,NULL
90,1,2021,2,Update Series,Base,Pedro Martinez,CPDC-4,Die Cut Insert,N,N,N,N,NULL,NULL,NULL
91,1,2021,2,Update Series,Base,Roberto Clemente,CPDC-28,Die Cut Insert,N,N,N,N,NULL,NULL,NULL
92,1,2021,2,Update Series,Base,Derek Jeter,CPDC-12,Die Cut Insert,N,N,N,N,NULL,NULL,NULL
93,1,2013,1,Chrome,Rookie Reprint,Jimmy Rollins,181,Saphire,N,N,N,N,NULL,NULL,NULL
94,1,2013,1,Chrome,Rookie Reprint,Ryan Howard,BDP138,Saphire,N,N,N,N,NULL,NULL,NULL
95,1,2013,1,Chrome,Rookie Reprint,Prince Fielder,221,Saphire,N,N,N,N,NULL,NULL,NULL
96,1,2013,1,Chrome,Rookie Reprint,Clayton Kershaw,DP84,Saphire,N,N,N,N,NULL,NULL,NULL
97,1,2013,1,Chrome,Rookie Reprint,Alfonso Soriano,350,Saphire,N,N,N,N,NULL,NULL,NULL
98,1,2013,1,Chrome,Rookie Reprint,"Edwin ""Duke"" Snider",226,Saphire,N,N,N,N,NULL,NULL,NULL
99,1,2021,1,Prospects,Paper,Blaze Jordan,BP-71,N,P,N,N,N,NULL,NULL,NULL
100,1,2021,1,Prospects,Paper,Blaze Jordan,BP-71,N,P,N,N,N,NULL,NULL,NULL
101,1,2013,1,Base,N,Derek Jeter,136,Gold Border,N,N,N,N,NULL,NULL,NULL
102,1,2013,1,Base,N,Derek Jeter,136,Gold Border,N,N,N,N,NULL,NULL,NULL
103,1,2013,1,Base,N,Derek Jeter,136,Gold Border,N,N,N,N,NULL,NULL,NULL
104,1,2012,2,Golden Giveaway,Die-Cut,Ichiro Suzuki,GMDC-25,N,N,N,N,N,NULL,NULL,NULL
105,1,2012,2,Golden Giveaway,Die-Cut,Ichiro Suzuki,GMDC-25,N,N,N,N,N,NULL,NULL,NULL
106,1,2021,2,Series 1,Major League Material,Miguel Sano,MLM-MS,N,N,N,N,Jersey,NULL,NULL,NULL
107,1,2021,4,Contenders,Rookie Ticket Jersey Set,Shane McClanahan,RTJ-SM,Purple,Y,N,13/99,Jersey,NULL,NULL,NULL
108,1,2021,2,Allen & Ginter,Baseball Relics,Mickey Moniak,AGA-MMO,N,Y,N,N,Jersey,NULL,NULL,NULL
109,1,2021,2,Allen & Ginter,Baseball Relics,JaCoby Jones,AGA-JJ,N,N,N,N,Jersey,NULL,NULL,NULL
110,1,2021,4,Elite Extra Edition,Future Threads,Gunnar Hoglund,FT-GH,N,P,N,N,Jersey,NULL,NULL,NULL
111,1,2021,4,Elite Extra Edition,Future Threads,Doug Nikhazy,FT-DN,N,P,N,N,Jersey,NULL,NULL,NULL
112,1,2022,2,Series 1,1987 Relics,Kris Bryant,87R-KB,N,N,N,N,Bat,NULL,NULL,NULL
113,1,2021,4,Chronicles,Americas Pastime Swatches,Ketel Marte,53,N,N,N,N,Jersey,NULL,NULL,NULL
114,1,2021,4,Elite Extra Edition,N,Nick Nastrini,131,Pink,P,N,N,N,NULL,NULL,NULL
115,1,2021,4,Elite Extra Edition,N,Lonnie White,64,Pink,P,N,N,N,NULL,NULL,NULL
116,1,2021,4,Elite Extra Edition,N,Doug Nikhazy,58,N,P,N,508/999,N,NULL,NULL,NULL
117,1,2021,4,Elite Extra Edition,N,Harold Grant,178,N,P,N,940/999,N,NULL,NULL,NULL
118,1,2021,4,Elite Extra Edition,N,Yoffry Solano,189,Prime Numbers B,P,N,51/51,N,NULL,NULL,NULL
119,1,2021,4,Elite Extra Edition,N,Cooper Bowman,122,Prime Numbers Die Cut A,P,N,076/105,N,NULL,NULL,NULL
120,1,2021,4,Mosaic,N,Zac Gallen,18,Green Prizm,N,N,N,N,NULL,NULL,NULL
121,1,2021,2,Chrome,35th Anniversery,Fernando Tatis Jr,86BC-20,Refractor,N,N,N,N,NULL,NULL,NULL
122,1,2021,4,Mosaic,N,Chris Bassitt,95,Blue Prizm,N,N,N,N,NULL,NULL,NULL
123,1,2021,4,Mosaic,N,Alex Verdugo,200,Blue Prizm,N,N,N,N,NULL,NULL,NULL
124,1,2021,4,Mosaic,N,Freddie Freeman,53,Blue Prizm,N,N,N,N,NULL,NULL,NULL
125,1,2021,4,Mosaic,N,Joey Bart,212,Blue Prizm,Y,N,N,N,NULL,NULL,NULL
126,1,2021,4,Mosaic,N,Sixto Sanchez,202,Silver Prizm,Y,N,N,N,NULL,NULL,NULL
